idCliente;fechaAlta;fechaNacimiento;genero;nombre;apellido;email;direccion;ciudad;referencia;provincia;fechaBaja;estado
1;1-1-2000;24/12/50;femenino;Elise;Ferreira;elise.ferreira@gmail.com;3 De February 0434;Santiago del Estero;402 Referencia: Entrando por Av del Roble....Coto privado con caseta y pluma de vigilancia es el primer edificio (de frente) al estacionamiento;Santiago del Estero;;
2;1-1-2000;5/4/70;masculino;Lucas;Arevalo;lucas.arevalo@gmail.com;rivadavia 667;San Isidro;6  Entre: maipu y primera junta;Buenos Aires;;
3;1-1-2000;27/5/62;masculino;Pablo;Choque;pablo.choque@gmail.com;Lacarra 1940;Castelar;;Buenos Aires;;
4;2-1-2000;16/12/52;masculino;Julio;Santa Cruz;julio.santa_cruz@gmail.com;Industria 815;Azul;;Buenos Aires;;
5;2-1-2000;1/6/90;femenino;Savannah;Guzman;savannah.guzman@gmail.com;rafael nuñez 257;Arroyito;Referencia: Porton De Rejas Negro En Cochera, Frente De la Casa Con Piedras Blancas. Entre: sarmiento y 25 de mayo;Cordoba;;
6;3-1-2000;28/4/97;masculino;Cristiano;Russo;cristiano.russo@gmail.com;Sor Mercedes Guerra 343;Santiago del Estero;Referencia: zaguan blanco con escaleras color verdes en el exterior Entre: soto y gama y calle 4;Santiago del Estero;;
7;3-1-2000;8/9/30;masculino;Heitor;Pari;heitor.pari@gmail.com;Ejercito argentino calle 2 y 53 132;Santiago del Estero;;Santiago del Estero;;
8;4-1-2000;18/12/54;femenino;Matilde;Mitchell;matilde.mitchell@gmail.com;Rodrigo de ibarrola 3244;Villa Devoto;1 Y 2 Referencia: 1 Y 2 Entre: PALMA y BRASIL;Capital Federal;;
9;4-1-2000;28/9/71;masculino;Raffaele;Quispe;raffaele.quispe@gmail.com;Juramento 410;Coronel Suarez;Referencia: Fachada Azul Entre: malecon y josefina rojas;Buenos Aires;;
10;4-1-2000;25/11/33;masculino;Henri;Coronel;henri.coronel@gmail.com;Calle 966 62;Bosques;Referencia: Casa color blanco con porton color gris Entre: Ovispo y Av transportistas;Buenos Aires;;
11;5-1-2000;16/8/54;femenino;Malena;Herrera;malena.herrera@gmail.com;Zabala 1575;Castelar;Fondo Referencia: Fondo Entre: Ranchos y Eslovenia;Buenos Aires;;
